,Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses,,
0, EURUSD5,A2C,0.847684636,-3.05,-3.31,-15.23,-1,-15.23,1,,
1, EURUSD5,DQN,0.93363919,-1.34,-1.67,-6.85,-0.96,-6.64,1,,
2,EURUSD5,GRU,9633.985,-38.91,-14.83,-3.67,-0.99,-3.66,557,,
3,EURUSD5,LSTM,9605.839,-42.05,-14.97,-3.95,-0.99,-3.94,557,,
4, EURUSD5,PPO,0.785737308,-4.35,-4.6,-21.35,-1,-21.43,1,,
5, GBPUSD5,A2C,0.797681794,-4.75,-4.86,-20.23,-1,-20.23,1,,
6, GBPUSD5,DQN,0.89033855,-3,-3.28,-10.9,-1,-10.9,1,,
7,GBPUSD5,GRU,9652.936,-27.48,-14.11,-3.48,-0.98,-3.47,272,,
8,GBPUSD5,LSTM,9657.702,-27.22,-14.09,-3.44,-0.98,-3.42,272,,
9, GBPUSD5,PPO,0.789969888,-4.71,-4.83,-20.95,-1,-20.95,1,,
10, USDCAD5,A2C,0.909372082,-2.16,-2.49,-9.17,-1,-9.06,1,,
11, USDCAD5,DQN,0.973923005,-2.01,-2.11,-2.64,-1,-2.58,1,,
12,USDCAD5,GRU,9627.808,-37.12,-14.65,-3.72,-0.99,-3.72,492,,
13,USDCAD5,LSTM,9628.168,-37.08,-14.65,-3.72,-0.99,-3.72,492,,
14, USDCAD5,PPO,0.820244564,-5.09,-5.14,-17.97,-1,-17.98,1,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,`
