Ticket,Model,Weighted Score m5,Weighted Score H1,Weighted Score D1
EURUSD,A2C(GRU),-0.0184,0.0088,-0.0155
EURUSD,A2C(LSTM),0.531,0.4319,0.3715
EURUSD,DQN(GRU),0.4551,0.4010,0.3492
EURUSD,DQN(LSTM),0.4795,0.4170,0.3692
EURUSD,PPO(GRU),0.3671,0.3662,0.3244
EURUSD,PPO(LSTM),-0.0556,-0.1119,-0.1758
GBPUSD,A2C(GRU),0.1712,0.1263,0.173
GBPUSD,A2C(LSTM),0.4659,0.4161,0.3649
GBPUSD,DQN(GRU),0.4629,0.4044,0.3522
GBPUSD,DQN(LSTM),0.4319,0.3955,0.3467
GBPUSD,PPO(GRU),0.383,0.3896,0.3279
GBPUSD,PPO(LSTM),0.1413,0.1099,0.1151
USDCAD,A2C(GRU),0.2215,0.2710,0.2804
USDCAD,A2C(LSTM),0.5805,0.4381,0.376
USDCAD,DQN(GRU),0.3525,0.3187,0.3197
USDCAD,DQN(LSTM),0.5305,0.4291,0.3699
USDCAD,PPO(GRU),0.3786,0.3687,0.326
USDCAD,PPO(LSTM),0.241,0.3122,0.3134
