Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses,MSE,RMSE,MAPE,Weighted Score
GBPUSD1440,DQN(LSTM),0.9867,0.3707,0.2498,0.5303,0.8555,0.1755,1.0,0.2802,0.0,0.0541,0.376
EURUSD1440,PPO(GRU),1.0,0.3984,0.2728,0.5275,0.8245,0.1909,1.0,0.1853,0.0848,0.1738,0.3715
EURUSD1440,A2C(LSTM),0.9811,0.3533,0.2356,0.5252,0.8732,0.1687,1.0,0.0981,0.1267,0.1435,0.3699
EURUSD1440,DQN(LSTM),0.9811,0.3516,0.2346,0.5203,0.8757,0.169,0.9048,0.0274,0.0602,0.1975,0.3692
GBPUSD1440,PPO(GRU),0.9891,0.3767,0.2542,0.5524,0.8481,0.1792,1.0,0.0962,0.161,0.1783,0.3649
GBPUSD1440,DQN(GRU),0.9781,0.3585,0.2395,0.546,0.8732,0.1656,1.0,0.1765,0.1622,0.1868,0.3522
GBPUSD1440,A2C(LSTM),0.9746,0.3472,0.2326,0.5322,0.8783,0.1624,0.8636,0.2122,0.1966,0.0,0.3492
USDJPY1440,DQN(GRU),0.9315,0.2778,0.1832,0.6196,0.9642,0.1119,1.0,0.0471,0.0234,0.2425,0.3467
USDJPY1440,DQN(LSTM),0.9413,0.2734,0.1832,0.5928,0.9518,0.1232,0.7917,0.1243,0.0353,0.1746,0.3279
EURUSD1440,DQN(GRU),0.961,0.2587,0.1704,0.5391,0.9769,0.1459,0.76,0.3327,0.0716,0.0305,0.326
USDJPY1440,A2C(GRU),0.3076,1.0,1.0,0.5551,0.5,1.0,0.5588,0.0,0.5835,0.2918,0.3244
USDJPY1440,PPO(GRU),0.9307,0.2396,0.1562,0.613,0.9769,0.1109,1.0,0.374,0.009,0.1514,0.3197
USDJPY1440,A2C(LSTM),0.9419,0.2865,0.1856,0.5952,0.9397,0.1239,0.8636,0.2564,0.2003,0.0975,0.3134
EURUSD1440,PPO(LSTM),0.8601,0.1172,0.0656,0.5007,0.961,0.1738,0.5278,0.0177,0.2416,0.0016,0.2804
EURUSD1440,A2C(GRU),0.7327,0.0,0.0,0.5011,1.0,0.1726,0.5278,0.3812,0.1342,0.4196,0.173
GBPUSD1440,A2C(GRU),0.2832,0.3854,0.262,0.5,0.8481,0.1769,0.9048,0.2735,0.7031,0.516,0.1151
GBPUSD1440,PPO(LSTM),0.0,0.3299,0.2155,0.5002,0.8732,0.176,0.5135,1.0,0.2967,0.4664,-0.0155
USDJPY1440,PPO(LSTM),0.1076,0.2552,0.1606,1.0,0.9136,0.0,0.5,0.8029,1.0,1.0,-0.1758
