Ticket,Model,Weighted Score
EURUSD60,DQN(GRU),0.43805177700903775
USDJPY60,DQN(LSTM),0.4319271677582154
USDJPY60,PPO(GRU),0.4291306312522943
USDJPY60,A2C(LSTM),0.41696187283188124
GBPUSD60,DQN(GRU),0.41610830828365936
USDJPY60,DQN(GRU),0.4044039876561672
GBPUSD60,PPO(GRU),0.4009801524005087
GBPUSD60,A2C(LSTM),0.39550816427930807
EURUSD60,A2C(LSTM),0.38955532557620437
EURUSD60,DQN(LSTM),0.3686676320034237
GBPUSD60,DQN(LSTM),0.36616615167420435
EURUSD60,PPO(GRU),0.31873138617764635
USDJPY60,PPO(LSTM),0.31220400641372675
USDJPY60,A2C(GRU),0.2709770182765537
GBPUSD60,PPO(LSTM),0.12633213075863625
EURUSD60,A2C(GRU),0.109898040965564
GBPUSD60,A2C(GRU),0.008793354933444339
EURUSD60,PPO(LSTM),-0.11185915990810108
